,geneID
783,ENSG00000057608
784,ENSG00000057657
785,ENSG00000057663
787,ENSG00000057757
788,ENSG00000057935
789,ENSG00000058056
790,ENSG00000058063
791,ENSG00000058085
792,ENSG00000058091
793,ENSG00000058262
794,ENSG00000058272
797,ENSG00000058453
798,ENSG00000058600
799,ENSG00000058668
800,ENSG00000058673
801,ENSG00000058729
802,ENSG00000058799
803,ENSG00000058804
805,ENSG00000059122
806,ENSG00000059145
807,ENSG00000059377
808,ENSG00000059378
809,ENSG00000059573
810,ENSG00000059588
811,ENSG00000059691
812,ENSG00000059728
813,ENSG00000059758
814,ENSG00000059769
815,ENSG00000059804
816,ENSG00000059915
817,ENSG00000060069
818,ENSG00000060138
820,ENSG00000060237
822,ENSG00000060339
823,ENSG00000060491
826,ENSG00000060642
827,ENSG00000060656
828,ENSG00000060688
831,ENSG00000060749
832,ENSG00000060762
833,ENSG00000060971
834,ENSG00000060982
835,ENSG00000061273
836,ENSG00000061337
837,ENSG00000061455
839,ENSG00000061656
840,ENSG00000061676
841,ENSG00000061794
842,ENSG00000061918
843,ENSG00000061936
844,ENSG00000061938
845,ENSG00000061987
848,ENSG00000062194
849,ENSG00000062282
850,ENSG00000062370
851,ENSG00000062485
852,ENSG00000062524
853,ENSG00000062582
854,ENSG00000062598
855,ENSG00000062650
856,ENSG00000062716
857,ENSG00000062725
858,ENSG00000062822
860,ENSG00000063046
861,ENSG00000063127
862,ENSG00000063169
863,ENSG00000063176
864,ENSG00000063177
865,ENSG00000063180
866,ENSG00000063241
867,ENSG00000063244
868,ENSG00000063245
869,ENSG00000063322
870,ENSG00000063438
872,ENSG00000063587
873,ENSG00000063601
874,ENSG00000063660
875,ENSG00000063761
876,ENSG00000063854
877,ENSG00000063978
878,ENSG00000064012
880,ENSG00000064102
881,ENSG00000064115
883,ENSG00000064199
890,ENSG00000064309
891,ENSG00000064313
892,ENSG00000064393
893,ENSG00000064419
895,ENSG00000064490
896,ENSG00000064545
897,ENSG00000064547
898,ENSG00000064601
899,ENSG00000064607
900,ENSG00000064651
901,ENSG00000064652
902,ENSG00000064655
903,ENSG00000064666
904,ENSG00000064687
905,ENSG00000064692
906,ENSG00000064703
907,ENSG00000064726
908,ENSG00000064763
912,ENSG00000064932
913,ENSG00000064933
914,ENSG00000064961
916,ENSG00000064995
917,ENSG00000064999
918,ENSG00000065000
919,ENSG00000065029
920,ENSG00000065054
921,ENSG00000065057
922,ENSG00000065060
923,ENSG00000065135
924,ENSG00000065150
925,ENSG00000065154
926,ENSG00000065183
927,ENSG00000065243
928,ENSG00000065268
929,ENSG00000065308
932,ENSG00000065328
933,ENSG00000065357
936,ENSG00000065413
937,ENSG00000065427
938,ENSG00000065457
939,ENSG00000065485
940,ENSG00000065491
941,ENSG00000065518
942,ENSG00000065526
943,ENSG00000065534
944,ENSG00000065548
945,ENSG00000065559
946,ENSG00000065600
948,ENSG00000065613
949,ENSG00000065615
952,ENSG00000065665
954,ENSG00000065717
955,ENSG00000065802
956,ENSG00000065809
957,ENSG00000065833
958,ENSG00000065882
959,ENSG00000065883
960,ENSG00000065911
961,ENSG00000065923
962,ENSG00000065970
963,ENSG00000065978
964,ENSG00000065989
965,ENSG00000066027
967,ENSG00000066044
968,ENSG00000066056
969,ENSG00000066084
970,ENSG00000066117
971,ENSG00000066135
972,ENSG00000066136
974,ENSG00000066230
975,ENSG00000066248
976,ENSG00000066279
978,ENSG00000066322
980,ENSG00000066379
983,ENSG00000066422
984,ENSG00000066427
985,ENSG00000066455
987,ENSG00000066557
988,ENSG00000066583
989,ENSG00000066629
990,ENSG00000066651
991,ENSG00000066654
992,ENSG00000066697
994,ENSG00000066739
995,ENSG00000066777
997,ENSG00000066827
998,ENSG00000066855
999,ENSG00000066923
1000,ENSG00000066926
1001,ENSG00000066933
1003,ENSG00000067057
1004,ENSG00000067064
1005,ENSG00000067066
1006,ENSG00000067082
1007,ENSG00000067113
1008,ENSG00000067141
1009,ENSG00000067167
1010,ENSG00000067177
1011,ENSG00000067182
1012,ENSG00000067191
1013,ENSG00000067208
1014,ENSG00000067221
1015,ENSG00000067225
1016,ENSG00000067248
1017,ENSG00000067334
1018,ENSG00000067365
1019,ENSG00000067369
1020,ENSG00000067445
1021,ENSG00000067533
1022,ENSG00000067560
1023,ENSG00000067596
1024,ENSG00000067601
1027,ENSG00000067704
1028,ENSG00000067715
1029,ENSG00000067798
1030,ENSG00000067829
1031,ENSG00000067836
1032,ENSG00000067840
1034,ENSG00000067900
1035,ENSG00000067955
1036,ENSG00000067992
1037,ENSG00000068001
1038,ENSG00000068024
1039,ENSG00000068028
1040,ENSG00000068078
1041,ENSG00000068079
1042,ENSG00000068097
1043,ENSG00000068120
1044,ENSG00000068137
1045,ENSG00000068305
1046,ENSG00000068308
1047,ENSG00000068323
1048,ENSG00000068354
1049,ENSG00000068366
1050,ENSG00000068383
1051,ENSG00000068394
1052,ENSG00000068400
1053,ENSG00000068438
1054,ENSG00000068489
1056,ENSG00000068650
1057,ENSG00000068654
1058,ENSG00000068697
1059,ENSG00000068724
1060,ENSG00000068745
1062,ENSG00000068784
1063,ENSG00000068793
1064,ENSG00000068796
1066,ENSG00000068878
1067,ENSG00000068885
1068,ENSG00000068903
1069,ENSG00000068912
1070,ENSG00000068971
1072,ENSG00000068985
1073,ENSG00000069011
1075,ENSG00000069020
1079,ENSG00000069248
1080,ENSG00000069275
1081,ENSG00000069329
1082,ENSG00000069345
1083,ENSG00000069399
1084,ENSG00000069424
1086,ENSG00000069482
1087,ENSG00000069493
1088,ENSG00000069509
1090,ENSG00000069667
1091,ENSG00000069696
1092,ENSG00000069702
1093,ENSG00000069712
1096,ENSG00000069849
1097,ENSG00000069869
1098,ENSG00000069943
1099,ENSG00000069956
1100,ENSG00000069966
1101,ENSG00000069974
1102,ENSG00000069998
1103,ENSG00000070010
1104,ENSG00000070018
1107,ENSG00000070047
1108,ENSG00000070061
1109,ENSG00000070081
1110,ENSG00000070087
1111,ENSG00000070159
1115,ENSG00000070214
1116,ENSG00000070269
1117,ENSG00000070366
1118,ENSG00000070367
1119,ENSG00000070371
1120,ENSG00000070388
1121,ENSG00000070404
1122,ENSG00000070413
1123,ENSG00000070423
1124,ENSG00000070444
1125,ENSG00000070476
1126,ENSG00000070495
1127,ENSG00000070501
1129,ENSG00000070540
1131,ENSG00000070610
1132,ENSG00000070614
1133,ENSG00000070669
1134,ENSG00000070718
1138,ENSG00000070756
1139,ENSG00000070759
1140,ENSG00000070761
1141,ENSG00000070770
1142,ENSG00000070778
1143,ENSG00000070785
1145,ENSG00000070814
1146,ENSG00000070831
1147,ENSG00000070882
1150,ENSG00000070950
1151,ENSG00000070961
1153,ENSG00000071051
1154,ENSG00000071054
1156,ENSG00000071082
1157,ENSG00000071127
1158,ENSG00000071189
1160,ENSG00000071205
1161,ENSG00000071242
1162,ENSG00000071243
1163,ENSG00000071246
1164,ENSG00000071282
1165,ENSG00000071462
1166,ENSG00000071537
1167,ENSG00000071539
1168,ENSG00000071553
1169,ENSG00000071564
1170,ENSG00000071575
1171,ENSG00000071626
1172,ENSG00000071655
1174,ENSG00000071794
1175,ENSG00000071859
1176,ENSG00000071889
1177,ENSG00000071894
1179,ENSG00000071967
1181,ENSG00000071994
1182,ENSG00000072041
1183,ENSG00000072042
1184,ENSG00000072062
1185,ENSG00000072071
1187,ENSG00000072110
1188,ENSG00000072121
1189,ENSG00000072133
1190,ENSG00000072134
1191,ENSG00000072135
1192,ENSG00000072163
1194,ENSG00000072195
1195,ENSG00000072201
1196,ENSG00000072210
1197,ENSG00000072274
1198,ENSG00000072310
1200,ENSG00000072364
1201,ENSG00000072401
1202,ENSG00000072415
1203,ENSG00000072422
1205,ENSG00000072501
1206,ENSG00000072506
1207,ENSG00000072518
1208,ENSG00000072571
1209,ENSG00000072609
1210,ENSG00000072657
1211,ENSG00000072682
1213,ENSG00000072736
1214,ENSG00000072756
1215,ENSG00000072778
1216,ENSG00000072786
1217,ENSG00000072803
1218,ENSG00000072818
1219,ENSG00000072832
1220,ENSG00000072840
1221,ENSG00000072849
1223,ENSG00000072864
1224,ENSG00000072952
1225,ENSG00000072954
1226,ENSG00000072958
1227,ENSG00000073008
1228,ENSG00000073009
1229,ENSG00000073050
1230,ENSG00000073060
1232,ENSG00000073111
1233,ENSG00000073146
1234,ENSG00000073150
1235,ENSG00000073169
1237,ENSG00000073331
1239,ENSG00000073417
1240,ENSG00000073464
1241,ENSG00000073536
1242,ENSG00000073578
1243,ENSG00000073584
1245,ENSG00000073605
1246,ENSG00000073614
1247,ENSG00000073670
1248,ENSG00000073711
1249,ENSG00000073712
1253,ENSG00000073756
1254,ENSG00000073792
1255,ENSG00000073803
1256,ENSG00000073849
1258,ENSG00000073905
1259,ENSG00000073910
1260,ENSG00000073921
1261,ENSG00000073969
1262,ENSG00000074047
1263,ENSG00000074054
1264,ENSG00000074071
1265,ENSG00000074181
1266,ENSG00000074201
1268,ENSG00000074219
1269,ENSG00000074266
1272,ENSG00000074319
1273,ENSG00000074356
1274,ENSG00000074370
1275,ENSG00000074410
1276,ENSG00000074416
1277,ENSG00000074527
1278,ENSG00000074582
1279,ENSG00000074590
1280,ENSG00000074603
1281,ENSG00000074621
1282,ENSG00000074657
1284,ENSG00000074695
1285,ENSG00000074696
1287,ENSG00000074755
1289,ENSG00000074800
1291,ENSG00000074842
1292,ENSG00000074855
1293,ENSG00000074935
1294,ENSG00000074964
1299,ENSG00000075089
1300,ENSG00000075131
1301,ENSG00000075142
1302,ENSG00000075151
1303,ENSG00000075188
1304,ENSG00000075213
1305,ENSG00000075218
1306,ENSG00000075223
1307,ENSG00000075234
1308,ENSG00000075239
1309,ENSG00000075240
1310,ENSG00000075275
1312,ENSG00000075292
1313,ENSG00000075303
1314,ENSG00000075336
1317,ENSG00000075391
1318,ENSG00000075399
1319,ENSG00000075407
1320,ENSG00000075413
1321,ENSG00000075415
1322,ENSG00000075420
1323,ENSG00000075426
1326,ENSG00000075539
1327,ENSG00000075568
1328,ENSG00000075618
1329,ENSG00000075624
1330,ENSG00000075643
1331,ENSG00000075651
1333,ENSG00000075702
1334,ENSG00000075711
1335,ENSG00000075785
1336,ENSG00000075790
1338,ENSG00000075856
1340,ENSG00000075886
1342,ENSG00000075914
1343,ENSG00000075945
1344,ENSG00000075975
1345,ENSG00000076003
1346,ENSG00000076043
1347,ENSG00000076053
1348,ENSG00000076067
1349,ENSG00000076108
1350,ENSG00000076201
1351,ENSG00000076242
1352,ENSG00000076248
1354,ENSG00000076321
1356,ENSG00000076351
1357,ENSG00000076356
1358,ENSG00000076382
1359,ENSG00000076513
1361,ENSG00000076555
1362,ENSG00000076604
1363,ENSG00000076641
1364,ENSG00000076650
1365,ENSG00000076662
1366,ENSG00000076685
1367,ENSG00000076706
1372,ENSG00000076924
1373,ENSG00000076928
1374,ENSG00000076944
1375,ENSG00000076984
1377,ENSG00000077044
1378,ENSG00000077063
1381,ENSG00000077097
1382,ENSG00000077147
1383,ENSG00000077150
1384,ENSG00000077152
1385,ENSG00000077157
1386,ENSG00000077232
1387,ENSG00000077235
1388,ENSG00000077238
1389,ENSG00000077254
1393,ENSG00000077312
1395,ENSG00000077348
1396,ENSG00000077380
1398,ENSG00000077454
1399,ENSG00000077458
1400,ENSG00000077463
1402,ENSG00000077514
1404,ENSG00000077549
1405,ENSG00000077585
1407,ENSG00000077684
1408,ENSG00000077713
1409,ENSG00000077721
1410,ENSG00000077782
1412,ENSG00000077809
1414,ENSG00000077942
1415,ENSG00000077943
1418,ENSG00000078043
1419,ENSG00000078053
1420,ENSG00000078061
1421,ENSG00000078070
1423,ENSG00000078098
1425,ENSG00000078124
1426,ENSG00000078140
1427,ENSG00000078142
1428,ENSG00000078177
1429,ENSG00000078237
1430,ENSG00000078246
1431,ENSG00000078269
1433,ENSG00000078304
1434,ENSG00000078319
1436,ENSG00000078369
1437,ENSG00000078399
1438,ENSG00000078401
1439,ENSG00000078403
1440,ENSG00000078487
1445,ENSG00000078618
1446,ENSG00000078668
1447,ENSG00000078674
1448,ENSG00000078687
1449,ENSG00000078699
1451,ENSG00000078747
1453,ENSG00000078804
1454,ENSG00000078808
1458,ENSG00000078902
1459,ENSG00000078967
1461,ENSG00000079102
1463,ENSG00000079134
1464,ENSG00000079150
1465,ENSG00000079156
1467,ENSG00000079246
1468,ENSG00000079257
1470,ENSG00000079277
1471,ENSG00000079308
1472,ENSG00000079313
1473,ENSG00000079332
1474,ENSG00000079335
1477,ENSG00000079387
1479,ENSG00000079432
1480,ENSG00000079435
1481,ENSG00000079459
1482,ENSG00000079462
1483,ENSG00000079482
1485,ENSG00000079616
1487,ENSG00000079691
1488,ENSG00000079739
1489,ENSG00000079785
1490,ENSG00000079805
1491,ENSG00000079819
1493,ENSG00000079931
1494,ENSG00000079950
1495,ENSG00000079974
1496,ENSG00000079999
1498,ENSG00000080031
1500,ENSG00000080189
1501,ENSG00000080200
1504,ENSG00000080298
1505,ENSG00000080345
1506,ENSG00000080371
1507,ENSG00000080493
1508,ENSG00000080503
1510,ENSG00000080546
1511,ENSG00000080561
1513,ENSG00000080573
1514,ENSG00000080603
1515,ENSG00000080608
1518,ENSG00000080709
1519,ENSG00000080802
1520,ENSG00000080815
1521,ENSG00000080819
1522,ENSG00000080822
1523,ENSG00000080823
1524,ENSG00000080824
1525,ENSG00000080839
1526,ENSG00000080845
1529,ENSG00000080947
1530,ENSG00000080986
1531,ENSG00000081014
1532,ENSG00000081019
1533,ENSG00000081026
1534,ENSG00000081041
1537,ENSG00000081059
1538,ENSG00000081087
1541,ENSG00000081154
1542,ENSG00000081177
1543,ENSG00000081181
1548,ENSG00000081307
1549,ENSG00000081320
1550,ENSG00000081377
1551,ENSG00000081386
1553,ENSG00000081665
1554,ENSG00000081692
1555,ENSG00000081721
1556,ENSG00000081760
1557,ENSG00000081791
1562,ENSG00000081853
1563,ENSG00000081870
1564,ENSG00000081913
1565,ENSG00000081923
1567,ENSG00000082014
1568,ENSG00000082068
1570,ENSG00000082126
1571,ENSG00000082146
1572,ENSG00000082153
1575,ENSG00000082212
1576,ENSG00000082213
1577,ENSG00000082258
1578,ENSG00000082269
1582,ENSG00000082458
1583,ENSG00000082482
1585,ENSG00000082512
1586,ENSG00000082515
1587,ENSG00000082516
1589,ENSG00000082641
1591,ENSG00000082701
1592,ENSG00000082781
1593,ENSG00000082805
1594,ENSG00000082898
1596,ENSG00000082996
1598,ENSG00000083093
1599,ENSG00000083097
1600,ENSG00000083099
1601,ENSG00000083123
1602,ENSG00000083168
1603,ENSG00000083223
1604,ENSG00000083290
1606,ENSG00000083312
1607,ENSG00000083444
1608,ENSG00000083454
1609,ENSG00000083457
1610,ENSG00000083520
1611,ENSG00000083535
1612,ENSG00000083544
1614,ENSG00000083635
1615,ENSG00000083642
1616,ENSG00000083720
1617,ENSG00000083750
1619,ENSG00000083799
1620,ENSG00000083807
1621,ENSG00000083812
1622,ENSG00000083814
1623,ENSG00000083817
1624,ENSG00000083828
1625,ENSG00000083838
1627,ENSG00000083844
1628,ENSG00000083845
1629,ENSG00000083857
1630,ENSG00000083896
1631,ENSG00000083937
1632,ENSG00000084070
1633,ENSG00000084072
1634,ENSG00000084073
1635,ENSG00000084090
